Name,Storage,Type,Cost,Description,Source
Adventurer's Ring,pouch,Ring (Common),250 GP,"Lamps are a liability on adventures. Delicate and prone to oil spillage, lamps fill a hand that should otherwise be wielding a weapon or casting a spell. Once you try one of our elegant and practical rings, you'll never go back to cumbersome flint and fire.<br><br>While the cover on this ring is open, the ring produces a flame that creates no heat and consumes no fuel. It sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. As a Bonus Action, you can close the cover, smothering the flame, or open it again.",Forgotten Realms - Heroes of Faerun
Boots of False Tracks,bag,Wondrous Item (Common)(Requires Attunement),100 GP,"While wearing these boots, you can have them leave tracks like those of any kind of Humanoid of your size.",Dungeon Master's Guide
Dark Shard Amulet,pouch,Wondrous Item (Common)(Requires Attunement by Warlock),100 GP,"This amulet is fashioned from a shard of resilient material originating from an otherworldly realm. While you are wearing it, you gain the following benefits.<br><br>**Spellcasting Focus.** You can use the amulet as a Spellcasting Focus for your Warlock spells.<br><br>**Unknown Spell.** As a Magic action, you can try to cast a cantrip that you don't know. The cantrip must be on the Warlock spell list and have a casting time of an action, and you make a DC 10 Intelligence (Arcana) check. On a successful check, you cast the spell. On a failed check, the spell fails, and the action used to cast it is wasted. In either case, you can't use this property again until you finish a Long Rest.",Dungeon Master's Guide
Enduring Spellbook,pouch,Wondrous Item (Common),100 GP,"This spellbook, along with anything written on its pages, can't be damaged by fire or water. In addition, the spellbook doesn't deteriorate with age.",Dungeon Master's Guide
Heward's Handy Spice Pouch,pouch,Wondrous Item (Common),100 GP,"This belt pouch appears empty and has 10 charges. While holding the pouch, you can take a Magic action to expend 1 charge, name any nonmagical food seasoning (such as salt, pepper, saffron, or cilantro), and remove a pinch of the desired seasoning from the pouch. A pinch is enough to season a single meal. The pouch regains 1d6 + 4 expended charges daily at dawn.",Dungeon Master's Guide
Manifold Tool,pouch,Wondrous Item (Common)(Requires Attunement),100 GP,"This tool takes the form of a wrench, a screwdriver, or another basic tool. As a Magic action, you can touch the item and transform it into a type of Artisan's Tools of your choice. Whatever form the tool takes, you have proficiency with it when you use it.",Eberron - Forge of the Artificer
Pole of Collapsing,bag,Wondrous Item (Common),100 GP,"This item functions as a Pole. While holding it, you can take a Magic action to collapse it into a 1-foot-long rod for ease of storage (the pole's weight doesn't change) or cause the 1-foot-long rod to revert to a Pole. The rod elongates only as far as the surrounding space allows.",Dungeon Master's Guide
Prosthetic Limb,bag,Wondrous Item (Common),100 GP,"This magic item replaces a lost limb - a hand, an arm, a foot, a leg, or a similar body part. While the prosthetic is attached, it functions identically to the part it replaces. You can detach or reattach it as a Magic action, and it can't be removed against your will while you are alive.",Dungeon Master's Guide
Talking Doll,bag,Wondrous Item (Common)(Requires Attunement),100 GP,"While this doll is within 5 feet of you, you can spend a Short Rest telling it to say up to six phrases, none of which can be more than six words long, and set a condition under which the doll speaks each phrase. You can also replace old phrases with new ones. Whatever the condition, it must occur within 5 feet of the doll to make it speak. For example, whenever someone picks up the doll, it might say, ''I want a piece of candy.'' The doll's phrases are lost when your Attunement to the doll ends.",Dungeon Master's Guide
Boots of Striding and Springing,bag,Wondrous Item (Uncommon) (Requires Attunement),400 GP,"While you wear these boots, your Speed becomes 30 feet unless your Speed is higher, and your Speed isn't reduced by you carrying weight in excess of your carrying capacity or wearing Heavy Armor.<br><br>Once on each of your turns, you can jump up to 30 feet by spending only 10 feet of movement.",Dungeon Master's Guide
Pipes of Haunting,bag,Wondrous Item (Uncommon),400 GP,"These pipes have 3 charges and regain 1d3 expended charges daily at dawn. You can take a Magic action to play them and expend 1 charge to create an eerie, spellbinding tune. Each creature of your choice within 30 feet of you must succeed on a DC 15 Wisdom saving throw or have the Frightened condition for 1 minute. A creature that fails the save repeats it at the end of each of its turns, ending the effect on itself on a success. A creature that succeeds on its save is immune to the effect of these pipes for 24 hours.",Dungeon Master's Guide
Ring of Jumping,pouch,Ring (Uncommon) (Requires Attunement),400 GP,"While wearing this ring, you can cast Jump from it, but can target only yourself when you do so.",Dungeon Master's Guide
Sending Accessory,pouch,Wondrous Item (Uncommon) (Requires Attunement),400 GP,"Can also be bought at 12 monthly payments of 60 GP. Sending accessories can be carved to match another so a pairing is easily recognized. While you touch one accessory, you can cast Sending from it. The target is the bearer of another accessory which has been paired. You can pair up to 4 other accessories. If no creature bears the other accessory, you know that fact as soon as you use the accessory, and you don't cast the spell. Once Sending is cast it can't be used to cast it again until the next dawn.",Home-brew (based on Sending Stones from Dungeon Master's Guide)
Stone of Good Luck,pouch,Wondrous Item (Uncommon) (Requires Attunement),400 GP,"While this 4 leaf clover shaped stone is on your person, you gain a +1 bonus to ability checks and saving throws.",Dungeon Master's Guide